Index,AVIF,PNG
0001,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/bulbasaur.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/bulbasaur.png
0002,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/ivysaur.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/ivysaur.png
0003,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/venusaur.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/venusaur.png
0003,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/venusaur-mega.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/venusaur-mega.png
0004,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/charmander.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/charmander.png
0005,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/charmeleon.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/charmeleon.png
0006,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/charizard.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard.png
0006,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/charizard-mega-x.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard-mega-x.png
0006,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/charizard-mega-y.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard-mega-y.png
0007,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/squirtle.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/squirtle.png
0008,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/wartortle.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/wartortle.png
0009,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/blastoise.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/blastoise.png
0009,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/blastoise-mega.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/blastoise-mega.png
0010,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/caterpie.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/caterpie.png
0011,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/metapod.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/metapod.png
0012,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/butterfree.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/butterfree.png
0013,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/weedle.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/weedle.png
0014,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/kakuna.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/kakuna.png
0015,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/beedrill.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/beedrill.png
0015,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/beedrill-mega.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/beedrill-mega.png
0016,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/pidgey.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgey.png
0017,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/pidgeotto.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgeotto.png
0018,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/pidgeot.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgeot.png
0018,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/pidgeot-mega.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgeot-mega.png
0019,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/rattata.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/rattata.png
0019,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/rattata-alolan.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/rattata-alolan.png
0020,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/raticate.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/raticate.png
0020,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/raticate-alolan.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/raticate-alolan.png
0021,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/spearow.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/spearow.png
0022,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/fearow.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/fearow.png
0023,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/ekans.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/ekans.png
0024,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/arbok.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/arbok.png
0025,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/pikachu.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/pikachu.png
0025,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/pikachu-lets-go.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/pikachu-lets-go.png
0026,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/raichu.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/raichu.png
0026,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/raichu-alolan.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/raichu-alolan.png
0027,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/sandshrew.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/sandshrew.png
0027,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/sandshrew-alolan.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/sandshrew-alolan.png
0028,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/sandslash.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/sandslash.png
0028,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/sandslash-alolan.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/sandslash-alolan.png
0029,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/nidoran-f.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoran-f.png
0030,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/nidorina.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidorina.png
0031,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/nidoqueen.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoqueen.png
0032,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/nidoran-m.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoran-m.png
0033,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/nidorino.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidorino.png
0034,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/nidoking.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoking.png
0035,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/clefairy.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/clefairy.png
0036,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/clefable.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/clefable.png
0037,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/vulpix.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/vulpix.png
0037,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/vulpix-alolan.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/vulpix-alolan.png
0038,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/ninetales.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/ninetales.png
0038,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/ninetales-alolan.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/ninetales-alolan.png
0039,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/jigglypuff.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/jigglypuff.png
0040,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/wigglytuff.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/wigglytuff.png
0041,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/zubat.avif,https://img.pokemondb.net/sprites/scarlet-violet/icon/zubat.png
